"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"1","COH.BY.PCOH1","0.66***","[ 0.63,  0.69]","0.66***","[ 0.63,  0.69]",,
"2","COH.BY.PCOH2","0.64***","[ 0.62,  0.67]","0.64***","[ 0.62,  0.67]",,
"3","COH.BY.PCOH3","0.56***","[ 0.53,  0.59]","0.56***","[ 0.53,  0.59]",,
"4","PSS.BY.PPSS1","0.60***","[ 0.58,  0.63]","0.60***","[ 0.58,  0.63]",,
"5","PSS.BY.PPSS2","0.58***","[ 0.55,  0.60]","0.58***","[ 0.55,  0.60]",,
"6","PSS.BY.PPSS3","0.55***","[ 0.53,  0.58]","0.55***","[ 0.53,  0.58]",,
"7","PSS.BY.PPSS4","0.58***","[ 0.56,  0.60]","0.58***","[ 0.56,  0.60]",,
"8","PSS.BY.PPSS5","0.61***","[ 0.58,  0.63]","0.61***","[ 0.58,  0.63]",,
"9","PHQ.BY.PPHQ1","0.24***","[ 0.22,  0.26]","0.24***","[ 0.22,  0.26]",,
"10","PHQ.BY.PPHQ2","0.26***","[ 0.24,  0.28]","0.26***","[ 0.24,  0.28]",,
"11","PHQ.BY.PPHQ3","0.32***","[ 0.30,  0.34]","0.32***","[ 0.30,  0.34]",,
"12","PHQ.BY.PPHQ4","0.29***","[ 0.27,  0.32]","0.29***","[ 0.27,  0.32]",,
"13","PHQ.BY.PPHQ5","0.29***","[ 0.27,  0.32]","0.29***","[ 0.27,  0.32]",,
"14","PLEA.BY.PPLEA1","0.34***","[ 0.31,  0.36]","0.34***","[ 0.31,  0.36]",,
"15","PLEA.BY.PPLEA2","0.52***","[ 0.49,  0.54]","0.52***","[ 0.49,  0.54]",,
"16","SAFE.BY.PSAFE1","0.53***","[ 0.51,  0.56]","0.53***","[ 0.51,  0.56]",,
"17","SAFE.BY.PSAFE2","0.44***","[ 0.42,  0.46]","0.44***","[ 0.42,  0.46]",,
"18","SAFE.BY.PSAFE3","0.43***","[ 0.41,  0.46]","0.43***","[ 0.41,  0.46]",,
"19","SAFE.BY.TRAFFIC","-0.33***","[-0.36, -0.30]","-0.33***","[-0.36, -0.30]",,
"20","GREEN.BY.PGREEN1","0.42***","[ 0.39,  0.46]","0.42***","[ 0.39,  0.46]",,
"21","GREEN.BY.PGREEN2","0.40***","[ 0.36,  0.44]","0.40***","[ 0.36,  0.44]",,
"22","BLUE.BY.RIVER","0.50***","[ 0.44,  0.56]","0.50***","[ 0.44,  0.56]",,
"23","BLUE.BY.LAKE","0.69***","[ 0.63,  0.76]","0.69***","[ 0.63,  0.76]",,
"24","BLUE.BY.BEACH","0.10***","[ 0.07,  0.13]","0.10***","[ 0.07,  0.13]",,
"25","NOI.BY.TRAFFIC","0.08***","[ 0.05,  0.12]","0.08***","[ 0.05,  0.12]",,
"26","NOI.BY.INSIDE","0.61***","[ 0.58,  0.65]","0.61***","[ 0.58,  0.65]",,
"27","NOI.BY.OUTSIDE","0.56***","[ 0.53,  0.60]","0.56***","[ 0.53,  0.60]",,
"28","PHQ.ON.NOI","0.09*","[ 0.00,  0.17]","0.10","[-0.08,  0.28]","0.01","[-0.19,  0.22]"
"29","PHQ.ON.PLEA","0.02","[-0.10,  0.15]","-0.16","[-0.52,  0.20]","-0.18","[-0.57,  0.20]"
"30","PHQ.ON.SAFE","0.05","[-0.05,  0.15]","0.32*","[ 0.08,  0.57]","0.27*","[ 0.01,  0.54]"
"31","PHQ.ON.COH","-0.08","[-0.18,  0.02]","-0.18","[-0.38,  0.01]","-0.11","[-0.33,  0.12]"
"32","PHQ.ON.GREEN","0.04","[-0.07,  0.15]","-0.02","[-0.44,  0.40]","-0.06","[-0.49,  0.37]"
"33","PHQ.ON.BLUE","-0.06","[-0.15,  0.04]","0.03","[-0.39,  0.45]","0.09","[-0.35,  0.52]"
"34","PHQ.ON.PSS","1.12***","[ 1.02,  1.22]","1.61***","[ 1.43,  1.79]","0.48***","[ 0.31,  0.66]"
"35","PSS.ON.NOI","0.06","[-0.01,  0.13]","0.18**","[ 0.06,  0.30]","0.12","[-0.02,  0.26]"
"36","PSS.ON.PLEA","0.01","[-0.10,  0.11]","0.20","[-0.02,  0.42]","0.19","[-0.05,  0.44]"
"37","PSS.ON.SAFE","-0.21***","[-0.30, -0.13]","-0.18*","[-0.34, -0.03]","0.03","[-0.15,  0.21]"
"38","PSS.ON.COH","-0.16***","[-0.25, -0.08]","-0.27***","[-0.40, -0.13]","-0.11","[-0.26,  0.05]"
"39","PSS.ON.GREEN","-0.00","[-0.09,  0.09]","0.18","[-0.06,  0.43]","0.19","[-0.07,  0.45]"
"40","PSS.ON.BLUE","-0.02","[-0.11,  0.06]","-0.13","[-0.37,  0.12]","-0.10","[-0.35,  0.15]"
"41","PHQ.ON.DEP","-0.04","[-0.19,  0.12]","-0.06","[-0.36,  0.23]","-0.03","[-0.36,  0.30]"
"42","PHQ.ON.FRAG","-0.03","[-0.06, -0.00]","-0.01","[-0.07,  0.04]","0.02","[-0.05,  0.08]"
"43","PHQ.ON.AGE","-0.00","[-0.01,  0.00]","0.01*","[ 0.00,  0.02]","0.01*","[ 0.00,  0.02]"
"44","PHQ.ON.URB","0.04","[-0.01,  0.10]","-0.01","[-0.11,  0.09]","-0.06","[-0.17,  0.06]"
"45","PHQ.ON.EDUM","0.09","[-0.08,  0.27]","0.14","[-0.13,  0.42]","0.05","[-0.25,  0.36]"
"46","PHQ.ON.EDUH","0.10","[-0.06,  0.26]","0.36*","[ 0.05,  0.68]","0.26","[-0.07,  0.60]"
"47","PHQ.ON.INC2","-0.16","[-0.43,  0.10]","-0.29","[-0.63,  0.05]","-0.13","[-0.55,  0.29]"
"48","PHQ.ON.INC3","-0.22*","[-0.43, -0.00]","-0.33*","[-0.64, -0.01]","-0.11","[-0.49,  0.27]"
"49","PHQ.ON.INC4","-0.31**","[-0.54, -0.09]","-0.30","[-0.64,  0.04]","0.01","[-0.39,  0.42]"
"50","PHQ.ON.INC5","-0.27*","[-0.48, -0.05]","-0.21","[-0.52,  0.11]","0.06","[-0.31,  0.43]"
"51","PHQ.ON.HOUS2C","0.00","[-0.12,  0.12]","0.06","[-0.18,  0.30]","0.06","[-0.21,  0.33]"
"52","PHQ.ON.HOUSSP","-0.03","[-0.26,  0.21]","-0.02","[-0.47,  0.44]","0.01","[-0.51,  0.53]"
"53","PHQ.ON.HOUSO","0.01","[-0.13,  0.15]","-0.19","[-0.49,  0.11]","-0.20","[-0.53,  0.14]"
"54","PHQ.ON.MARS","0.18","[-0.03,  0.38]","0.29","[-0.12,  0.69]","0.11","[-0.33,  0.55]"
"55","PHQ.ON.MARW","-0.24","[-0.72,  0.25]","-0.17","[-1.08,  0.74]","0.07","[-0.95,  1.08]"
"56","PHQ.ON.MARN","0.13","[ 0.00,  0.26]","0.18","[-0.12,  0.48]","0.05","[-0.27,  0.37]"
"57","PHQ.ON.PHYS","-0.04**","[-0.07, -0.01]","-0.03","[-0.09,  0.03]","0.01","[-0.05,  0.07]"
"58","PSS.ON.DEP","-0.06","[-0.19,  0.07]","0.08","[-0.14,  0.29]","0.14","[-0.10,  0.38]"
"59","PSS.ON.FRAG","-0.00","[-0.03,  0.02]","-0.01","[-0.05,  0.02]","-0.01","[-0.06,  0.04]"
"60","PSS.ON.AGE","-0.01***","[-0.01, -0.01]","-0.01***","[-0.02, -0.01]","0.00","[-0.01,  0.01]"
"61","PSS.ON.URB","-0.03","[-0.07,  0.01]","0.08*","[ 0.01,  0.14]","0.11**","[ 0.03,  0.19]"
"62","PSS.ON.EDUM","-0.13","[-0.27,  0.02]","-0.20*","[-0.39,  0.00]","-0.07","[-0.31,  0.17]"
"63","PSS.ON.EDUH","-0.27***","[-0.42, -0.13]","-0.54***","[-0.76, -0.32]","-0.27*","[-0.53, -0.01]"
"64","PSS.ON.INC2","0.18","[-0.01,  0.38]","0.18","[-0.05,  0.41]","-0.00","[-0.30,  0.29]"
"65","PSS.ON.INC3","0.11","[-0.07,  0.28]","0.06","[-0.19,  0.31]","-0.04","[-0.33,  0.25]"
"66","PSS.ON.INC4","0.07","[-0.10,  0.25]","0.03","[-0.20,  0.26]","-0.04","[-0.32,  0.24]"
"67","PSS.ON.INC5","-0.07","[-0.24,  0.10]","-0.13","[-0.36,  0.10]","-0.06","[-0.34,  0.22]"
"68","PSS.ON.HOUS2C","-0.02","[-0.13,  0.08]","-0.08","[-0.26,  0.10]","-0.06","[-0.26,  0.15]"
"69","PSS.ON.HOUSSP","0.01","[-0.18,  0.21]","-0.15","[-0.48,  0.17]","-0.17","[-0.55,  0.21]"
"70","PSS.ON.HOUSO","-0.15*","[-0.27, -0.03]","0.02","[-0.21,  0.24]","0.17","[-0.09,  0.42]"
"71","PSS.ON.MARS","0.24**","[ 0.07,  0.41]","0.52***","[ 0.23,  0.82]","0.28","[-0.07,  0.63]"
"72","PSS.ON.MARW","0.40","[-0.06,  0.85]","0.45","[-0.29,  1.19]","0.06","[-0.80,  0.91]"
"73","PSS.ON.MARN","0.05","[-0.07,  0.17]","0.06","[-0.16,  0.27]","0.01","[-0.22,  0.24]"
"74","PHYS.ON.NOI","0.07","[-0.07,  0.21]","0.18","[-0.02,  0.38]","0.11","[-0.13,  0.35]"
"75","PHYS.ON.PLEA","0.02","[-0.22,  0.27]","0.08","[-0.25,  0.40]","0.06","[-0.35,  0.46]"
"76","PHYS.ON.SAFE","-0.07","[-0.24,  0.10]","-0.16","[-0.39,  0.08]","-0.08","[-0.38,  0.21]"
"77","PHYS.ON.COH","0.17","[-0.00,  0.34]","0.20","[-0.04,  0.43]","0.02","[-0.27,  0.32]"
"78","PHYS.ON.GREEN","-0.09","[-0.29,  0.11]","-0.21","[-0.51,  0.09]","-0.12","[-0.48,  0.24]"
"79","PHYS.ON.BLUE","-0.04","[-0.24,  0.15]","-0.05","[-0.35,  0.25]","-0.01","[-0.37,  0.35]"
"80","PHYS.ON.DEP","0.27","[-0.01,  0.54]","-0.26","[-0.71,  0.18]","-0.53*","[-1.04, -0.02]"
"81","PHYS.ON.FRAG","0.06*","[ 0.01,  0.11]","0.06","[-0.01,  0.13]","0.00","[-0.08,  0.08]"
"82","PHYS.ON.AGE","0.02***","[ 0.01,  0.03]","0.02*","[ 0.00,  0.03]","-0.00","[-0.02,  0.01]"
"83","PHYS.ON.URB","-0.06","[-0.15,  0.03]","-0.06","[-0.20,  0.07]","-0.01","[-0.16,  0.14]"
"84","PHYS.ON.EDUM","-0.16","[-0.44,  0.13]","0.17","[-0.22,  0.56]","0.32","[-0.14,  0.79]"
"85","PHYS.ON.EDUH","-0.30*","[-0.58, -0.01]","0.19","[-0.24,  0.62]","0.48","[-0.02,  0.99]"
"86","PHYS.ON.INC2","-0.37","[-0.81,  0.06]","0.05","[-0.44,  0.54]","0.42","[-0.24,  1.09]"
"87","PHYS.ON.INC3","-0.44*","[-0.84, -0.04]","-0.14","[-0.60,  0.32]","0.30","[-0.31,  0.91]"
"88","PHYS.ON.INC4","-0.32","[-0.70,  0.07]","0.15","[-0.32,  0.62]","0.46","[-0.14,  1.07]"
"89","PHYS.ON.INC5","-0.31","[-0.70,  0.07]","0.11","[-0.33,  0.55]","0.42","[-0.15,  0.99]"
"90","PHYS.ON.HOUS2C","-0.09","[-0.31,  0.12]","0.31","[-0.05,  0.67]","0.40","[-0.02,  0.82]"
"91","PHYS.ON.HOUSSP","-0.08","[-0.50,  0.33]","-0.28","[-0.86,  0.29]","-0.20","[-0.91,  0.51]"
"92","PHYS.ON.HOUSO","-0.20","[-0.46,  0.05]","0.22","[-0.19,  0.64]","0.43","[-0.06,  0.91]"
"93","PHYS.ON.MARS","0.08","[-0.27,  0.43]","-0.05","[-0.62,  0.52]","-0.13","[-0.80,  0.54]"
"94","PHYS.ON.MARW","1.44***","[ 0.64,  2.23]","0.24","[-0.99,  1.46]","-1.20","[-2.67,  0.28]"
"95","PHYS.ON.MARN","0.16","[-0.09,  0.41]","-0.18","[-0.64,  0.28]","-0.34","[-0.85,  0.17]"
"96","PSS.WITH.PHYS","-0.04","[-0.15,  0.07]","-0.22**","[-0.38, -0.07]",,
"97","PLEA.WITH.COH","0.67***","[ 0.62,  0.72]","0.53***","[ 0.45,  0.61]",,
"98","SAFE.WITH.COH","0.47***","[ 0.42,  0.53]","0.38***","[ 0.32,  0.45]",,
"99","SAFE.WITH.PLEA","0.67***","[ 0.62,  0.72]","0.62***","[ 0.54,  0.70]",,
"100","GREEN.WITH.COH","-0.17***","[-0.24, -0.11]","-0.01","[-0.10,  0.08]",,
"101","GREEN.WITH.PLEA","-0.21***","[-0.29, -0.14]","-0.14*","[-0.25, -0.03]",,
"102","GREEN.WITH.SAFE","-0.17***","[-0.24, -0.11]","-0.12*","[-0.21, -0.02]",,
"103","BLUE.WITH.COH","-0.05","[-0.12,  0.02]","-0.03","[-0.13,  0.06]",,
"104","BLUE.WITH.PLEA","-0.12**","[-0.20, -0.04]","-0.09","[-0.20,  0.02]",,
"105","BLUE.WITH.SAFE","-0.09*","[-0.16, -0.02]","-0.12*","[-0.22, -0.02]",,
"106","BLUE.WITH.GREEN","0.60***","[ 0.52,  0.68]","0.57***","[ 0.45,  0.69]",,
"107","NOI.WITH.COH","-0.46***","[-0.51, -0.40]","-0.47***","[-0.55, -0.40]",,
"108","NOI.WITH.PLEA","-0.50***","[-0.55, -0.44]","-0.42***","[-0.51, -0.34]",,
"109","NOI.WITH.SAFE","-0.40***","[-0.46, -0.34]","-0.34***","[-0.42, -0.26]",,
"110","NOI.WITH.GREEN","0.11**","[ 0.04,  0.19]","0.01","[-0.09,  0.10]",,
"111","NOI.WITH.BLUE","0.07","[-0.00,  0.14]","0.05","[-0.06,  0.15]",,
"112","PPHQ4.WITH.PPHQ3","0.08***","[ 0.06,  0.09]","0.08***","[ 0.06,  0.09]",,
"113","Means.COH","0.00","","0.00","",,
"114","Means.PLEA","0.00","","0.00","",,
"115","Means.SAFE","0.00","","0.00","",,
"116","Means.GREEN","0.00","","0.00","",,
