"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"1","COH.BY.PCOH1","0.83***","[ 0.81,  0.86]","0.82***","[ 0.79,  0.85]",,
"2","COH.BY.PCOH2","0.87***","[ 0.85,  0.90]","0.86***","[ 0.83,  0.89]",,
"3","COH.BY.PCOH3","0.72***","[ 0.70,  0.75]","0.67***","[ 0.63,  0.70]",,
"4","PSS.BY.PPSS1","0.80***","[ 0.78,  0.82]","0.82***","[ 0.79,  0.84]",,
"5","PSS.BY.PPSS2","0.83***","[ 0.81,  0.85]","0.82***","[ 0.79,  0.84]",,
"6","PSS.BY.PPSS3","0.81***","[ 0.80,  0.83]","0.80***","[ 0.78,  0.83]",,
"7","PSS.BY.PPSS4","0.84***","[ 0.82,  0.85]","0.85***","[ 0.83,  0.87]",,
"8","PSS.BY.PPSS5","0.79***","[ 0.77,  0.81]","0.79***","[ 0.77,  0.82]",,
"9","PHQ.BY.PPHQ1","0.85***","[ 0.82,  0.87]","0.81***","[ 0.77,  0.84]",,
"10","PHQ.BY.PPHQ2","0.81***","[ 0.79,  0.84]","0.81***","[ 0.78,  0.85]",,
"11","PHQ.BY.PPHQ3","0.67***","[ 0.64,  0.70]","0.74***","[ 0.71,  0.77]",,
"12","PHQ.BY.PPHQ4","0.72***","[ 0.68,  0.75]","0.78***","[ 0.75,  0.80]",,
"13","PHQ.BY.PPHQ5","0.66***","[ 0.62,  0.70]","0.72***","[ 0.68,  0.76]",,
"14","PLEA.BY.PPLEA1","0.58***","[ 0.54,  0.62]","0.56***","[ 0.51,  0.60]",,
"15","PLEA.BY.PPLEA2","0.79***","[ 0.76,  0.83]","0.80***","[ 0.76,  0.85]",,
"16","SAFE.BY.PSAFE1","0.85***","[ 0.82,  0.87]","0.84***","[ 0.81,  0.87]",,
"17","SAFE.BY.PSAFE2","0.75***","[ 0.72,  0.78]","0.72***","[ 0.68,  0.75]",,
"18","SAFE.BY.PSAFE3","0.72***","[ 0.68,  0.75]","0.70***","[ 0.66,  0.74]",,
"19","SAFE.BY.TRAFFIC","-0.41***","[-0.45, -0.37]","-0.43***","[-0.47, -0.38]",,
"20","GREEN.BY.PGREEN1","0.68***","[ 0.63,  0.74]","0.66***","[ 0.60,  0.72]",,
"21","GREEN.BY.PGREEN2","0.60***","[ 0.55,  0.65]","0.59***","[ 0.53,  0.65]",,
"22","BLUE.BY.RIVER","0.51***","[ 0.45,  0.57]","0.51***","[ 0.44,  0.57]",,
"23","BLUE.BY.LAKE","0.70***","[ 0.64,  0.77]","0.69***","[ 0.62,  0.76]",,
"24","BLUE.BY.BEACH","0.20***","[ 0.14,  0.25]","0.18***","[ 0.12,  0.25]",,
"25","NOI.BY.TRAFFIC","0.11***","[ 0.06,  0.15]","0.11***","[ 0.06,  0.16]",,
"26","NOI.BY.INSIDE","0.85***","[ 0.81,  0.88]","0.81***","[ 0.76,  0.85]",,
"27","NOI.BY.OUTSIDE","0.78***","[ 0.74,  0.82]","0.76***","[ 0.72,  0.81]",,
"28","PHQ.ON.NOI","0.06*","[ 0.00,  0.11]","0.05","[-0.04,  0.13]","0.01","[-0.19,  0.22]"
"29","PHQ.ON.PLEA","0.01","[-0.06,  0.09]","-0.08","[-0.24,  0.09]","-0.18","[-0.57,  0.20]"
"30","PHQ.ON.SAFE","0.03","[-0.03,  0.10]","0.15**","[ 0.04,  0.26]","0.27*","[ 0.01,  0.54]"
"31","PHQ.ON.COH","-0.05","[-0.11,  0.01]","-0.09","[-0.18,  0.01]","-0.11","[-0.33,  0.12]"
"32","PHQ.ON.GREEN","0.02","[-0.04,  0.09]","-0.01","[-0.21,  0.19]","-0.06","[-0.49,  0.37]"
"33","PHQ.ON.BLUE","-0.03","[-0.09,  0.03]","0.01","[-0.18,  0.21]","0.09","[-0.35,  0.52]"
"34","PHQ.ON.PSS","0.76***","[ 0.72,  0.79]","0.86***","[ 0.81,  0.92]","0.48***","[ 0.31,  0.66]"
"35","PSS.ON.NOI","0.06","[-0.01,  0.12]","0.16**","[ 0.06,  0.26]","0.12","[-0.02,  0.26]"
"36","PSS.ON.PLEA","0.00","[-0.09,  0.10]","0.17","[-0.01,  0.36]","0.19","[-0.05,  0.44]"
"37","PSS.ON.SAFE","-0.20***","[-0.27, -0.12]","-0.16*","[-0.29, -0.03]","0.03","[-0.15,  0.21]"
"38","PSS.ON.COH","-0.15***","[-0.22, -0.08]","-0.23***","[-0.35, -0.12]","-0.11","[-0.26,  0.05]"
"39","PSS.ON.GREEN","-0.00","[-0.09,  0.08]","0.16","[-0.05,  0.38]","0.19","[-0.07,  0.45]"
"40","PSS.ON.BLUE","-0.02","[-0.10,  0.06]","-0.11","[-0.32,  0.10]","-0.10","[-0.35,  0.15]"
"41","PHQ.ON.DEP","-0.01","[-0.05,  0.03]","-0.01","[-0.06,  0.04]","-0.03","[-0.36,  0.30]"
"42","PHQ.ON.FRAG","-0.05","[-0.10,  0.00]","-0.02","[-0.09,  0.05]","0.02","[-0.05,  0.08]"
"43","PHQ.ON.AGE","-0.01","[-0.05,  0.03]","0.08*","[ 0.02,  0.15]","0.01*","[ 0.00,  0.02]"
"44","PHQ.ON.URB","0.04","[-0.01,  0.08]","-0.01","[-0.08,  0.06]","-0.06","[-0.17,  0.06]"
"45","PHQ.ON.EDUM","0.03","[-0.02,  0.08]","0.03","[-0.03,  0.10]","0.05","[-0.25,  0.36]"
"46","PHQ.ON.EDUH","0.03","[-0.02,  0.08]","0.07*","[ 0.01,  0.14]","0.26","[-0.07,  0.60]"
"47","PHQ.ON.INC2","-0.03","[-0.09,  0.02]","-0.05","[-0.11,  0.01]","-0.13","[-0.55,  0.29]"
"48","PHQ.ON.INC3","-0.06*","[-0.11, -0.00]","-0.06*","[-0.12, -0.00]","-0.11","[-0.49,  0.27]"
"49","PHQ.ON.INC4","-0.08**","[-0.15, -0.02]","-0.05","[-0.11,  0.01]","0.01","[-0.39,  0.42]"
"50","PHQ.ON.INC5","-0.08*","[-0.14, -0.02]","-0.04","[-0.10,  0.02]","0.06","[-0.31,  0.43]"
"51","PHQ.ON.HOUS2C","0.00","[-0.03,  0.03]","0.01","[-0.04,  0.06]","0.06","[-0.21,  0.33]"
"52","PHQ.ON.HOUSSP","-0.00","[-0.04,  0.03]","-0.00","[-0.05,  0.05]","0.01","[-0.51,  0.53]"
"53","PHQ.ON.HOUSO","0.00","[-0.03,  0.04]","-0.03","[-0.09,  0.02]","-0.20","[-0.53,  0.14]"
"54","PHQ.ON.MARS","0.03","[-0.00,  0.07]","0.04","[-0.02,  0.10]","0.11","[-0.33,  0.55]"
"55","PHQ.ON.MARW","-0.02","[-0.05,  0.02]","-0.01","[-0.06,  0.04]","0.07","[-0.95,  1.08]"
"56","PHQ.ON.MARN","0.04","[-0.00,  0.08]","0.04","[-0.03,  0.11]","0.05","[-0.27,  0.37]"
"57","PHQ.ON.PHYS","-0.06**","[-0.10, -0.02]","-0.03","[-0.09,  0.03]","0.01","[-0.05,  0.07]"
